* Denotes afternoon catch,,,,,,,,,
Date Range: 1 January to 31 December 2017,,,,,,,,,
"Locations: Gold Coast, Nth Stradbroke Island, Sunshine Coast, Rainbow Beach, Woongarra Coast (Bundaberg), Tannum Sands, Capricorn Coast, Mackay, Townsville and Cairns",,,,,,,,,
,,,,,,,,,
Species Name,Species Code,Date,Area,Location,Latitude,Longitude,Length (m),Water Temp (C),Number Caught
TIGER SHARK,37018022,2/01/2017,Gold Coast,North Kirra Beach,-28.1286727,153.4938302,1.9,21.3,1
LONG NOSE WHALER,37018023,5/01/2017,Gold Coast,Main Beach,-27.97502378,153.4351473,1.57,24.3,1
LONG NOSE WHALER,37018023,6/01/2017,Sunshine Coast North,Coolum Beach,-26.5307,153.0985167,2.61,24.5,1
LONG NOSE WHALER,37018023,6/01/2017,Sunshine Coast South,Caloundra Bach,-26.80848333,153.1501833,0.195,25,1
LONG NOSE WHALER,37018023,6/01/2017,Sunshine Coast South,Moffat Beach,-26.78621667,153.1516833,1.1,25,1
LONG NOSE WHALER *,37018023,6/01/2017,Sunshine Coast North,Alexandra Headland,-26.6699,153.1176333,2.215,24.5,1
BLACKTIP REEF WHALER,37018036,9/01/2017,Gladstone,Tannum Sands,-23.84594405,151.1256942,1,28,1
TIGER SHARK,37018022,9/01/2017,Bundaberg,Kellys Beach,-24.81971253,152.4719653,3.79,25,1
BULL WHALER,37018021,10/01/2017,Capricorn Coast,Cooee Bay,-23.14082512,150.763499,0.87,25,1
BULL WHALERS,37018021,10/01/2017,Gladstone,Tannum Sands,-23.93497625,151.3733767,1.75,27.8,1
AUSTRALIAN BLACKTIP,37018014,11/01/2017,Cairns,Buchans  ,-16.72634691,145.6635282,0.941,28,1
BULL WHALER,37018021,11/01/2017,Capricorn Coast,Farnborough Beach,-23.11756404,150.7534457,0.81,26,1
GREAT HAMMERHEAD,37019002,11/01/2017,Gold Coast,Kirra Beach,-28.15844036,153.5364365,2.036,25.52,1
HARDNOSE WHALER,37018025,11/01/2017,Cairns,Clifton,-16.7593035,145.6821593,0.667,28,1
BULL WHALER *,37018021,12/01/2017,Capricorn Coast,Emu Park,-23.26190175,150.8317405,0.98,26,1
TIGER SHARK,37018022,12/01/2017,Gladstone,Tannum Sands,-23.94139276,151.3784672,2.15,27,1
COMMON BLACKTIP WHALER,37018039,13/01/2017,Cairns,Trinity,-16.77573626,145.7001393,1.1,29,1
BULL WHALER *,37018021,14/01/2017,"Capricorn Coast, QLD",Fishermans Beach,-23.24329028,150.8279963,0.92,27,1
GREAT HAMMERHEAD,37019002,14/01/2017,Cairns,Palm Cove,-16.74184228,145.6746311,2.444,29,1
TIGER SHARK,37018022,14/01/2017,Cairns,Buchans  ,-16.72584936,145.6630756,2.996,29,1
GREAT HAMMERHEAD,37019002,18/01/2017,Sunshine Coast North,Noosa,-26.38060833,153.0928667,2.7,24,1
LONG NOSE WHALER,37018023,21/01/2017,Sunshine Coast North,Coolum Beach,-26.5307,153.0985167,1.6,24.5,1
TIGER SHARK,37018022,24/01/2017,Cairns,Holloways,-16.83073186,145.7481561,2.655,29,1
TIGER SHARK,37018022,24/01/2017,Bundaberg,Kellys Beach,-24.81779989,152.4563632,3.26,26,1
BLACKTIP REEF WHALER *,37018036,26/01/2017,Gladstone,Tannum Sands,-23.93564898,151.3739747,0.98,28,1
TIGER SHARK,37018022,26/01/2017,Nth Stradbroke Is.,Cylinder Beach,-27.41603751,153.5156585,3,26,1
COMMON BLACKTIP WHALERS,37018039,27/01/2017,Gladstone,Tannum Sands,-23.94397481,151.3806747,0.945,29,1
TAWNY SHARK,37013010,27/01/2017,Cairns,Yorkeys,-16.80699666,145.7313031,2.685,30,1
BULL WHALER *,37018021,28/01/2017,Gladstone,Tannum Sands,-23.93402629,151.3725127,1.85,29,1
COMMON BLACKTIP WHALER,37018039,28/01/2017,Cairns,Trinity,-16.77676175,145.7012346,0.86,30,1
LONG NOSE WHALER,37018023,28/01/2017,Gold Coast,Kirra Beach,-28.15910471,153.5451196,2.64,27.9,1
TIGER SHARK,37018022,28/01/2017,Nth Stradbroke Is.,Cylinder Beach,-27.41964839,153.5341469,3,26,1
TIGER SHARK,37018022,29/01/2017,Cairns,Holloways,-16.82907606,145.7476669,1.225,30,1
TIGER SHARK,37018022,29/01/2017,Cairns,Holloways,-16.83074493,145.7482614,1.355,30,1
TIGER SHARK,37018022,30/01/2017,Capricorn Coast,Tanby Point,-23.22943743,150.8240597,2.31,28,1
BULL WHALER *,37018021,3/02/2017,"Capricorn Coast, QLD",Fishermans Beach,-23.24114804,150.827894,0.92,28,1
LONG NOSE WHALER,37018023,7/02/2017,Gold Coast,Bilinga Beach,-28.14733333,153.5097417,2.85,25.5,1
TIGER SHARK,37018022,10/02/2017,Townsville,Picnic Bay,-19.18208333,146.8432667,2.2,29,1
COMMON BLACKTIP WHALER,37018039,12/02/2017,Gladstone,Tannum Sands,-23.94225321,151.3791822,1,29,1
LONG NOSE WHALER,37018023,15/02/2017,Sunshine Coast North,Coolum Beach,-26.5307,153.0985167,1,23.5,1
GREAT HAMMERHEAD,37019002,16/02/2017,Gold Coast,Northcliffe Beach,-28.0098456,153.4380659,3,26.5,1
ZEBRA SHARK,37013006,16/02/2017,Gold Coast,Tallebudgera Beach,-28.10134246,153.4720566,2.5,26.5,1
TAWNY SHARK,37013010,20/02/2017,Townsville,Nelly Bay,-19.17538333,146.8495167,2,30,1
TIGER SHARK,37018022,20/02/2017,Townsville,Horseshoe Bay,-19.11473333,146.8501833,3.4,30,1
TIGER SHARK,37018022,21/02/2017,Bundaberg,Kellys Beach,-24.81870306,152.4719942,1.48,26,1
TIGER SHARK,37018022,22/02/2017,Townsville,Radical Bay,-19.10761667,146.8752333,1.7,30,1
ZEBRA SHARK,37013006,22/02/2017,Gold Coast,Surfers Paradise,-27.99848209,153.4373479,1.8,25.8,1
AUSTRALIAN BLACKTIP,37018014,23/02/2017,Gladstone,Tannum Sands,-23.93975884,151.3767985,0.95,27,1
AUSTRALIAN BLACKTIP,37018014,23/02/2017,Gladstone,Tannum Sands,-23.94118259,151.3780991,1.1,27,1
AUSTRALIAN BLACKTIP,37018014,23/02/2017,"Gladstone, QLD",Tannum Sands,-23.94230186,151.3788469,0.98,28,1
AUSTRALIAN BLACKTIP,37018014,23/02/2017,Gladstone,Tannum Sandz,-23.9432947,151.3798464,1.2,28,1
TIGER SHARK,37018022,23/02/2017,Bundaberg,Kellys Beach,-24.83681341,152.4679906,3.25,26,1
LONG NOSE WHALER,37018023,25/02/2017,Sunshine Coast South,Wurtulla Beach,26.74759,153.14227,1.321,24,1
TIGER SHARK,37018022,25/02/2017,Bundaberg,Neilson Park,-24.81488703,152.459434,2.15,26,1
TIGER SHARK,37018022,1/03/2017,Townsville,Alma Bay,-19.15188333,146.8744,1.02,30,1
TIGER SHARK,37018022,1/03/2017,Sunshine Coast North,Glen Eden Beach,26.46978,153.10466,2.41,23.5,1
TIGER SHARK,37018022,1/03/2017,Sunshine Coast South,Buddina Beach,26.70351,153.14005,1.25,24,1
SPOT-TAIL WHALER,37018013,2/03/2017,Townsville,Palarenda Beach,-19.19868333,146.7776,1.02,30,1
TIGER SHARK,37018022,2/03/2017,Townsville,Palarenda Beach,-19.19868333,146.7776,3.8,30,1
AUSTRALIAN BLACKTIP,37018014,3/03/2017,Gladstone,Tannum Sandz,-23.93836782,151.3757721,1.2,27.5,1
BULL WHALER,37018021,3/03/2017,Gladstone,Tannum Sands,-23.94101717,151.3777769,1.88,27.5,1
BULL WHALER,37018021,3/03/2017,Bundaberg,Neilson Park,-24.80429012,152.4641092,1.56,26,1
BULL WHALER,37018021,3/03/2017,Bundaberg,Kellys Beach,-24.83788865,152.4673179,1.79,26,1
BULL WHALER,37018021,4/03/2017,Townsville,The Strand,-19.23938333,146.8114333,1.14,29,1
BULL WHALER,37018021,4/03/2017,Capricorn Coast,Emu Park,-23.26138488,150.8319035,0.78,28,1
LONG NOSE WHALER *,37018023,4/03/2017,Gold Coast,Tallebudgera Beach,-28.15558087,153.522303,1.07,26.5,1
BULL WHALER,37018021,5/03/2017,Capricorn Coast,Yeppoon Beach,-23.12746081,150.754593,1.45,28,1
TIGER SHARK,37018022,6/03/2017,Bundaberg,Kellys Beach,-24.82159574,152.4718579,2.13,26,1
TIGER SHARK,37018022,7/03/2017,Capricorn Coast,Emu Park,-23.24754703,150.8349817,3.35,26,1
BLACKTIP REEF WHALER,37018036,8/03/2017,Rainbow Beach,Rainbow Beach,-25.90386095,153.0802487,1.25,27,1
LONG NOSE WHALER,37018023,11/03/2017,Gold Coast,Kirra Beach,-28.15900291,153.5314922,1,26,1
TIGER SHARK,37018022,11/03/2017,Capricorn Coast,Emu Park,-23.26275998,150.8314028,2.68,26,1
PIGEYE WHALER,37018026,12/03/2017,Bundaberg,Neilson Park,-24.80221732,152.4631429,1.17,26,1
TIGER SHARK,37018022,13/03/2017,Cairns,Buchans  ,-16.7259237,145.6631483,2.18,29,1
WHITE SHARK,37010003,14/03/2017,Nth Stradbroke Is.,Cylinder Beach,-27.44321985,153.5476408,4,26,1
BULL WHALER,37018021,15/03/2017,Gladstone,Tannum Sands,-23.94343527,151.3800634,1,27.8,1
LONG NOSE WHALER,37018023,15/03/2017,Rainbow Beach,Rainbow Beach,-25.90385949,153.0803659,2.45,27,1
TIGER SHARK,37018022,15/03/2017,Cairns,Holloways,-16.83165827,145.748664,3.62,29,1
BULL WHALER,37018021,17/03/2017,Bundaberg,Neilson Park,-24.80864323,152.4327342,1.56,26,1
LONG NOSE WHALER,37018023,17/03/2017,Gold Coast,Bilinga Beach,-28.14054068,153.5006121,0.9,25.8,1
SCALLOPED HAMMERHEAD,37019001,17/03/2017,Gold Coast,Miami Beach,-28.05800257,153.4486884,1.2,26,1
TIGER SHARK,37018022,17/03/2017,Bundaberg,Kellys Beach,-24.81614829,152.4675384,3.74,26,1
PIGEYE WHALER,37018026,18/03/2017,Cairns,Palm Cove,-16.74196294,145.6745044,2.13,30,1
TIGER SHARK,37018022,18/03/2017,Cairns,Ellis Beach,-16.72254374,145.6512933,1.32,30,1
TIGER SHARK,37018022,18/03/2017,Capricorn Coast,Fishermans Beach,-23.24524008,150.8280621,2.35,26,1
TIGER SHARK,37018022,19/03/2017,Mackay,Blacks Beach,-21.0721,149.2315667,2.6,27,1
TIGER SHARK,37018022,22/03/2017,Cairns,Buchans  ,-16.72568218,145.6630166,2.435,29,1
TIGER SHARK,37018022,22/03/2017,Cairns,Clifton,-16.76077888,145.6830989,2.65,29,1
BULL WHALER,37018021,23/03/2017,Gold Coast,Broadbeach,-28.01985343,153.4407341,1.7,26,1
SPOT-TAIL WHALER,37018013,23/03/2017,Townsville,Nelly Bay,-19.16961667,146.8524333,1.05,30.5,1
TIGER SHARK,37018022,23/03/2017,Townsville,Nelly Bay,-19.17538333,146.8495167,2.35,30,1
BULL WHALER,37018021,24/03/2017,"Capricorn Coast, QLD",Tanby Point,-23.22621667,150.8245667,1.12,27,1
LONG NOSE WHALER,37018023,24/03/2017,Gold Coast,Miami Beach,-28.05814116,153.4487367,1.2,26.1,1
ZEBRA SHARK,37013006,24/03/2017,"Gold Coast, QLD",Kirra Beach,-28.15877362,153.5319451,1.8,26.1,1
BULL WHALER,37018021,25/03/2017,Gladstone,Tannum Sands,-23.94037164,151.3751906,2.3,27,1
BULL WHALER,37018021,25/03/2017,Gladstone,Tannum Sands,-23.94037164,151.3751906,2.3,27,1
BULL WHALER,37018021,25/03/2017,Rainbow Beach,Rainbow Beach,-25.90379931,153.0803277,3.2,27.5,1
BULL WHALERS,37018021,25/03/2017,Sunshine Coast North,Noosa,-26.37976035,153.0920205,2.5,29,1
SHARPTOOTH SHARK,37018029,25/03/2017,Rainbow Beach,Rainbow Beach,-25.90379931,153.0803277,2.65,27.5,1
TIGER SHARK,37018022,25/03/2017,Townsville,Nelly Bay,-19.17688333,146.8487667,1.6,30,1
TIGER SHARK,37018022,28/03/2017,Rainbow Beach,Rainbow Beach,-25.90389017,153.080308,2.68,27,1
BULL WHALER,37018021,29/03/2017,Rainbow Beach,Rainbow Beach,-25.90367974,153.080457,1.52,28,1
BULL WHALER,37018021,31/03/2017,Townsville,Palarenda Beach,-19.19973333,146.7777833,1.4,30,1
BULL WHALER,37018021,31/03/2017,Townsville,Nelly Bay,-19.17383333,146.8503333,1.25,30,1
BULL WHALER,37018021,31/03/2017,Townsville,Horseshoe Bay,-19.10445,146.85945,1.9,30,1
TIGER SHARK,37018022,31/03/2017,Cairns,Ellis Beach,-16.72052966,145.6491398,3.5,29,1
BULL WHALER,37018021,1/04/2017,Capricorn Coast,Cooee Bay,-23.13828333,150.7624,0.6,26,1
BULL WHALER,37018021,1/04/2017,Capricorn Coast,Lammermoor Beach,-23.14941667,150.7676667,1.58,26,1
BULL WHALER,37018021,1/04/2017,Capricorn Coast,Lammermoor Beach,-23.15266667,150.7692667,1.05,26,1
BULL WHALER,37018021,1/04/2017,Capricorn Coast,Lammermoor Beach,-23.15598333,150.77155,0.85,26,1
BULL WHALER,37018021,1/04/2017,"Capricorn Coast, QLD",Lammermoor Beach,-23.15931667,150.7751667,0.75,26,1
BULL WHALER,37018021,1/04/2017,Capricorn Coast,Kemp Beach,-23.16685,150.7947833,1.78,26,1
BULL WHALER,37018021,1/04/2017,Capricorn Coast,Mullambin Beach,-23.19055,150.7993,1.3,26,1
BULL WHALER,37018021,1/04/2017,Capricorn Coast,Tanby Point,-23.23103333,150.8251667,1.63,26,1
BULL WHALER,37018021,1/04/2017,"Capricorn Coast, QLD",Fishermans Beach,-23.24678333,150.8277167,1.45,26,1
BULL WHALER,37018021,1/04/2017,Gladstone,Tannum Sands,-23.95003195,151.3487993,1.7,26,1
BULL WHALER,37018021,1/04/2017,Gladstone,Tannum Sands,-23.95003195,151.3487993,2.1,26,1
BULL WHALER,37018021,1/04/2017,Gladstone,Tannum Sands,-23.95003195,151.3487993,1.7,26,1
BULL WHALER,37018021,1/04/2017,Gladstone,Tannum Sands,-23.95003195,151.3487993,1.4,26,1
BULL WHALERS,37018021,1/04/2017,Gladstone,Tannum Sands,-23.95003195,151.3487993,2.1,26,1
BULL WHALERS,37018021,1/04/2017,Gladstone,Tannum Sands,-23.95003195,151.3487993,1.4,26,1
COMMON BLACKTIP WHALER,37018039,1/04/2017,Gladstone,Tannum Sands,-23.94993811,151.3487752,0.9,26,1
COMMON BLACKTIP WHALER,37018039,1/04/2017,Gladstone,Tannum Sands,-23.95003195,151.3487993,1.1,26,1
COMMON BLACKTIP WHALER,37018039,1/04/2017,Gladstone,Tannum Sands,-23.95003195,151.3487993,0.9,26,1
COMMON BLACKTIP WHALER,37018039,1/04/2017,Gladstone,Tannum Sands,-23.95003195,151.3487993,1.2,26,1
COMMON BLACKTIP WHALER,37018039,1/04/2017,Gladstone,Tannum Sands,-23.95003195,151.3487993,1.1,26,1
GRACEFUL WHALER,37018033,1/04/2017,Townsville,Horseshoe Bay,-19.10445,146.85945,1.25,30,1
BULL WHALER,37018021,2/04/2017,Capricorn Coast,Farnborough Beach,-23.12186667,150.7538667,1.1,26,1
BULL WHALER,37018021,2/04/2017,Capricorn Coast,Lammermoor Beach,-23.15266667,150.7692667,0.87,26,1
BULL WHALER,37018021,2/04/2017,"Capricorn Coast, QLD",Kemp Beach,-23.1699,150.7947333,0.98,26,1
PIGEYE WHALER,37018026,6/04/2017,Bundaberg,Kellys Beach,-24.81967477,152.4720265,1.63,23,1
TIGER SHARK,37018022,6/04/2017,Gold Coast,North Burleigh,-28.06788856,153.452737,2.54,22.7,1
BULL WHALER,37018021,8/04/2017,Bribie Island,Woorim (Bribie Island),-27.06835189,153.2113376,1.55,21,1
GRACEFUL WHALER,37018033,8/04/2017,Townsville,Horseshoe Bay,-19.10445,146.85945,0.9,27.5,1
LONG NOSE WHALER *,37018023,8/04/2017,Sunshine Coast North,Maroochydore,-26.65862753,153.1110229,1.2,24,1
TAWNY SHARK,37013010,8/04/2017,Townsville,Picnic Bay,-19.18248333,146.8437833,2.6,27.5,1
TIGER SHARK,37018022,8/04/2017,Townsville,Alma Bay,-19.15188333,146.8744,1,27.5,1
DUSKY WHALER,37018003,9/04/2017,Nth Stradbroke Is.,Cylinder Beach,-27.41967685,153.5313913,1,22.5,1
SANDBAR WHALER,37018007,9/04/2017,Bundaberg,Neilson Park,-24.82228506,152.4723612,1.43,22,1
SCALLOPED HAMMERHEAD,37019001,10/04/2017,Gold Coast,Kirra Beach,-28.15840863,153.5334548,1.7,23,1
DUSKY WHALER,37018003,11/04/2017,Sunshine Coast South,Caloundra Beach,-26.80904845,153.1458368,2.01,22.7,1
LONG NOSE WHALER,37018023,11/04/2017,Sunshine Coast South,Wurtulla Beach,-26.74793981,153.141761,1.05,24,1
TIGER SHARK,37018022,11/04/2017,Townsville,Radical Bay,-19.10796667,146.8759,1.05,28,1
SANDBAR WHALER,37018007,12/04/2017,Bundaberg,Neilson Park,-24.80097378,152.461938,1.77,22,1
SANDBAR WHALER,37018007,12/04/2017,Bundaberg,Kellys Beach,-24.82236276,152.4711823,1.62,22,1
SANDBAR WHALER,37018007,12/04/2017,Bundaberg,Kellys Beach,-24.81710664,152.4719566,1.57,22,1
TAWNY SHARK,37013010,13/04/2017,Townsville,Alma Bay,-19.15188333,146.8744,2.1,28,1
PIGEYE WHALER,37018026,14/04/2017,Townsville,Horseshoe Bay,-19.10221667,146.85995,1.1,27.5,1
TIGER SHARK,37018022,14/04/2017,Townsville,Horseshoe Bay,-19.103,146.8597667,1.06,27.5,1
SCALLOPED HAMMERHEAD,37019001,15/04/2017,Townsville,Florence Bay,-19.12505,146.8852,1.7,27,1
SHARPTOOTH SHARK,37018029,15/04/2017,Cairns,Clifton,-16.75815614,145.6816812,2.15,26,1
